threshold,precision,recall,f1,tp,fp,tn,fn,predicted_positive_rate,accuracy
0.8599999999999999,0.9237013771442377,0.5405879275483223,0.6820261700248856,38232,3158,23679,32491,0.4242517425174252,0.6345940959409594
0.8699999999999999,0.9282034278718629,0.5145850713346436,0.6621062302717159,36393,2815,24022,34330,0.4018860188601886,0.619259942599426
0.8799999999999999,0.9323025264697121,0.48681475616136194,0.6396351205737004,34429,2500,24337,36294,0.3785260352603526,0.6023575235752358
0.8899999999999999,0.9371436839820576,0.45788498791058074,0.6151902581735975,32383,2172,24665,38340,0.35419229192291923,0.5847478474784747
0.8999999999999999,0.9412862876878558,0.4277533475672695,0.5882055569598102,30252,1887,24950,40471,0.3294280442804428,0.5658261582615827
0.9099999999999999,0.9465672147821664,0.3947654935452399,0.5571653794727494,27919,1576,25261,42804,0.30232677326773266,0.5451004510045101
0.9199999999999999,0.9507882882882883,0.3581437439022666,0.5203003194231896,25329,1311,25526,45394,0.2730627306273063,0.5212689626896269
0.9299999999999999,0.955579081092526,0.3190758310592028,0.4784074286077721,22566,1049,25788,48157,0.2420561705617056,0.49563345633456335
0.94,0.9600468887369347,0.27792938647964593,0.43106681140827,19656,818,26019,51067,0.20986059860598605,0.46817343173431736
0.95,0.9650617069355119,0.23551037144917494,0.37862290013866473,16656,603,26234,54067,0.17690651906519064,0.4396268962689627
